"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 30 16:37:55 MSK 2026","Sat May 30 16:37:57 MSK 2026","1489","","ru.praktikum.TestCreateCourier","","ru.praktikum.TestCreateCourier","createWithoutLogin","Создание курьера без логина",""
"passed","Sat May 30 16:38:06 MSK 2026","Sat May 30 16:38:08 MSK 2026","1478","","ru.praktikum.TestCreateOrder","","ru.praktikum.TestCreateOrder","createOrder","Создание заказа с разными вариантами цветов [2] GREY",""
"passed","Sat May 30 16:38:32 MSK 2026","Sat May 30 16:38:34 MSK 2026","1975","","ru.praktikum.TestLoginCourier","","ru.praktikum.TestLoginCourier","checkAuthorizationWithWrongLogin","Передаем несуществующий логин",""
"passed","Sat May 30 16:38:10 MSK 2026","Sat May 30 16:38:23 MSK 2026","13314","","ru.praktikum.TestListOrder","","ru.praktikum.TestListOrder","checkBodyResponseNotNull","Проверка, что тело ответа содержит список заказов",""
"passed","Sat May 30 16:38:34 MSK 2026","Sat May 30 16:38:36 MSK 2026","2087","","ru.praktikum.TestLoginCourier","","ru.praktikum.TestLoginCourier","checkAuthorizationWithEmptyPassword","Проверка авторизации с пустым password",""
"passed","Sat May 30 16:38:26 MSK 2026","Sat May 30 16:38:28 MSK 2026","1762","","ru.praktikum.TestLoginCourier","","ru.praktikum.TestLoginCourier","checkAuthorizationWithEmptyLogin","Проверка авторизации с пустым login",""
"passed","Sat May 30 16:37:43 MSK 2026","Sat May 30 16:37:55 MSK 2026","11801","","ru.praktikum.TestCreateCourier","","ru.praktikum.TestCreateCourier","createDuplicateLogin","Проверка условия - Нельзя создать двух одинаковых курьеров",""
"passed","Sat May 30 16:38:08 MSK 2026","Sat May 30 16:38:09 MSK 2026","859","","ru.praktikum.TestCreateOrder","","ru.praktikum.TestCreateOrder","createOrder","Создание заказа с разными вариантами цветов [3] BLACK",""
"passed","Sat May 30 16:38:02 MSK 2026","Sat May 30 16:38:05 MSK 2026","3462","","ru.praktikum.TestCreateCourier","","ru.praktikum.TestCreateCourier","createWithoutPassword","Создание курьера без пароля",""
"passed","Sat May 30 16:37:57 MSK 2026","Sat May 30 16:38:00 MSK 2026","2719","","ru.praktikum.TestCreateCourier","","ru.praktikum.TestCreateCourier","createWithoutFirstName","Создание курьера без имени",""
"passed","Sat May 30 16:38:30 MSK 2026","Sat May 30 16:38:32 MSK 2026","2075","","ru.praktikum.TestLoginCourier","","ru.praktikum.TestLoginCourier","authorizationSuccessWithChecks","Успешная авторизация возвращает статус 200 и ID",""
"passed","Sat May 30 16:38:06 MSK 2026","Sat May 30 16:38:06 MSK 2026","856","","ru.praktikum.TestCreateOrder","","ru.praktikum.TestCreateOrder","createOrder","Создание заказа с разными вариантами цветов [1] BLACK",""
"passed","Sat May 30 16:38:09 MSK 2026","Sat May 30 16:38:10 MSK 2026","959","","ru.praktikum.TestCreateOrder","","ru.praktikum.TestCreateOrder","createOrder","Создание заказа с разными вариантами цветов [4] NO_COLOR",""
"passed","Sat May 30 16:38:36 MSK 2026","Sat May 30 16:38:40 MSK 2026","4200","","ru.praktikum.TestLoginCourier","","ru.praktikum.TestLoginCourier","checkAuthorizationWithWrongPassword","Передаем несуществующий пароль",""
"passed","Sat May 30 16:38:00 MSK 2026","Sat May 30 16:38:02 MSK 2026","2353","","ru.praktikum.TestCreateCourier","","ru.praktikum.TestCreateCourier","createCourierSuccess","Проверка условия - курьера можно создать",""
"passed","Sat May 30 16:38:10 MSK 2026","Sat May 30 16:38:10 MSK 2026","437","","ru.praktikum.TestCreateOrder","","ru.praktikum.TestCreateOrder","createOrder","Создание заказа с разными вариантами цветов [5] EMPTY",""
"passed","Sat May 30 16:38:23 MSK 2026","Sat May 30 16:38:26 MSK 2026","2643","","ru.praktikum.TestLoginCourier","","ru.praktikum.TestLoginCourier","checkAuthorizationWithEmptyAll","Проверка авторизации с пустыми login и password",""
"passed","Sat May 30 16:38:28 MSK 2026","Sat May 30 16:38:30 MSK 2026","1625","","ru.praktikum.TestLoginCourier","","ru.praktikum.TestLoginCourier","checkAuthorizationWithWrongLoginAndPassword","Передаем несуществующиую пару логин-пароль",""
